,title,price,link,parts
25,mg midget / austin healey sprite 1961-1969 rear bumper with overriders,175,https://charlottesville.craigslist.org/pts/d/woodberry-forest-mg-midget-austin/7866497108.html,"['lens', 'tripod', 'flash', 'filter', 'adapter', 'mount', 'battery', 'charger', 'case', 'bag', 'remote', 'light', 'lighting', 'stand', 'gimbal', 'slider', 'monitor', 'microphone', 'cable', 'cord', 'memory', 'sd', 'cf', 'shutter', 'body', 'grip']"
26,1964 ford galaxie driver side front door,300,https://charlottesville.craigslist.org/pts/d/woodberry-forest-1964-ford-galaxie/7872262824.html,"['lens', 'tripod', 'flash', 'filter', 'adapter', 'mount', 'battery', 'charger', 'case', 'bag', 'remote', 'light', 'lighting', 'stand', 'gimbal', 'slider', 'monitor', 'microphone', 'cable', 'cord', 'memory', 'sd', 'cf', 'shutter', 'body', 'grip']"
27,austin engines 948 and 1098 and transmission,1,https://charlottesville.craigslist.org/pts/d/woodberry-forest-austin-engines-948-and/7865129968.html,"['lens', 'tripod', 'flash', 'filter', 'adapter', 'mount', 'battery', 'charger', 'case', 'bag', 'remote', 'light', 'lighting', 'stand', 'gimbal', 'slider', 'monitor', 'microphone', 'cable', 'cord', 'memory', 'sd', 'cf', 'shutter', 'body', 'grip']"
28,1955 - 1957 chevrolet bel air brake parts,450,https://charlottesville.craigslist.org/pts/d/woodberry-forest-chevrolet-bel-air/7876495161.html,"['lens', 'tripod', 'flash', 'filter', 'adapter', 'mount', 'battery', 'charger', 'case', 'bag', 'remote', 'light', 'lighting', 'stand', 'gimbal', 'slider', 'monitor', 'microphone', 'cable', 'cord', 'memory', 'sd', 'cf', 'shutter', 'body', 'grip']"
29,1957 chevrolet bel air rear bumper center section,275,https://charlottesville.craigslist.org/pts/d/woodberry-forest-1957-chevrolet-bel-air/7882021866.html,"['lens', 'tripod', 'flash', 'filter', 'adapter', 'mount', 'battery', 'charger', 'case', 'bag', 'remote', 'light', 'lighting', 'stand', 'gimbal', 'slider', 'monitor', 'microphone', 'cable', 'cord', 'memory', 'sd', 'cf', 'shutter', 'body', 'grip']"
30,1957 chevrolet bel air one piece front bumper california,800,https://charlottesville.craigslist.org/pts/d/woodberry-forest-1957-chevrolet-bel-air/7882021938.html,"['lens', 'tripod', 'flash', 'filter', 'adapter', 'mount', 'battery', 'charger', 'case', 'bag', 'remote', 'light', 'lighting', 'stand', 'gimbal', 'slider', 'monitor', 'microphone', 'cable', 'cord', 'memory', 'sd', 'cf', 'shutter', 'body', 'grip']"
31,want to find restoration shop to restore 1st gen camaro,0,https://charlottesville.craigslist.org/pts/d/montpelier-station-want-to-find/7852973371.html,"['lens', 'tripod', 'flash', 'filter', 'adapter', 'mount', 'battery', 'charger', 'case', 'bag', 'remote', 'light', 'lighting', 'stand', 'gimbal', 'slider', 'monitor', 'microphone', 'cable', 'cord', 'memory', 'sd', 'cf', 'shutter', 'body', 'grip']"
32,"gator hard folding bed cover for 2019-2024 dodge ram with 5'-7"" bed",190,https://charlottesville.craigslist.org/pts/d/nellysford-gator-hard-folding-bed-cover/7870558916.html,"['lens', 'tripod', 'flash', 'filter', 'adapter', 'mount', 'battery', 'charger', 'case', 'bag', 'remote', 'light', 'lighting', 'stand', 'gimbal', 'slider', 'monitor', 'microphone', 'cable', 'cord', 'memory', 'sd', 'cf', 'shutter', 'body', 'grip']"
33,vintage transmission manuals,30,https://charlottesville.craigslist.org/pts/d/nellysford-vintage-transmission-manuals/7883220641.html,"['lens', 'tripod', 'flash', 'filter', 'adapter', 'mount', 'battery', 'charger', 'case', 'bag', 'remote', 'light', 'lighting', 'stand', 'gimbal', 'slider', 'monitor', 'microphone', 'cable', 'cord', 'memory', 'sd', 'cf', 'shutter', 'body', 'grip']"
34,500 lb capacity rear bumper cargo carrier,45,https://charlottesville.craigslist.org/pts/d/esmont-500-lb-capacity-rear-bumper/7859452424.html,"['lens', 'tripod', 'flash', 'filter', 'adapter', 'mount', 'battery', 'charger', 'case', 'bag', 'remote', 'light', 'lighting', 'stand', 'gimbal', 'slider', 'monitor', 'microphone', 'cable', 'cord', 'memory', 'sd', 'cf', 'shutter', 'body', 'grip']"
35,"truxedo soft roll-up tonneau cover - nissan frontier '22+ (59.5"")",125,https://charlottesville.craigslist.org/pts/d/charlottesville-truxedo-soft-roll-up/7885020017.html,"['lens', 'tripod', 'flash', 'filter', 'adapter', 'mount', 'battery', 'charger', 'case', 'bag', 'remote', 'light', 'lighting', 'stand', 'gimbal', 'slider', 'monitor', 'microphone', 'cable', 'cord', 'memory', 'sd', 'cf', 'shutter', 'body', 'grip']"
36,tow bar,125,https://charlottesville.craigslist.org/pts/d/palmyra-tow-bar/7884998522.html,"['lens', 'tripod', 'flash', 'filter', 'adapter', 'mount', 'battery', 'charger', 'case', 'bag', 'remote', 'light', 'lighting', 'stand', 'gimbal', 'slider', 'monitor', 'microphone', 'cable', 'cord', 'memory', 'sd', 'cf', 'shutter', 'body', 'grip']"
37,voltzwagon engine heads,35,https://charlottesville.craigslist.org/pts/d/somerset-voltzwagon-engine-heads/7873062742.html,"['lens', 'tripod', 'flash', 'filter', 'adapter', 'mount', 'battery', 'charger', 'case', 'bag', 'remote', 'light', 'lighting', 'stand', 'gimbal', 'slider', 'monitor', 'microphone', 'cable', 'cord', 'memory', 'sd', 'cf', 'shutter', 'body', 'grip']"
38,2008 jeep right side headlight cluster,35,https://charlottesville.craigslist.org/pts/d/somerset-2008-jeep-right-side-headlight/7873060102.html,"['lens', 'tripod', 'flash', 'filter', 'adapter', 'mount', 'battery', 'charger', 'case', 'bag', 'remote', 'light', 'lighting', 'stand', 'gimbal', 'slider', 'monitor', 'microphone', 'cable', 'cord', 'memory', 'sd', 'cf', 'shutter', 'body', 'grip']"
39,pair ranger or mazda b4000 4x4 bearings,50,https://charlottesville.craigslist.org/pts/d/barboursville-pair-ranger-or-mazda/7850429567.html,"['lens', 'tripod', 'flash', 'filter', 'adapter', 'mount', 'battery', 'charger', 'case', 'bag', 'remote', 'light', 'lighting', 'stand', 'gimbal', 'slider', 'monitor', 'microphone', 'cable', 'cord', 'memory', 'sd', 'cf', 'shutter', 'body', 'grip']"
40,original tall model t cowl/tail lights,125,https://charlottesville.craigslist.org/pts/d/culpeper-original-tall-model-cowl-tail/7865982388.html,"['lens', 'tripod', 'flash', 'filter', 'adapter', 'mount', 'battery', 'charger', 'case', 'bag', 'remote', 'light', 'lighting', 'stand', 'gimbal', 'slider', 'monitor', 'microphone', 'cable', 'cord', 'memory', 'sd', 'cf', 'shutter', 'body', 'grip']"
41,assorted auto electrical tools,1234,https://charlottesville.craigslist.org/pts/d/culpeper-assorted-auto-electrical-tools/7873872000.html,"['lens', 'tripod', 'flash', 'filter', 'adapter', 'mount', 'battery', 'charger', 'case', 'bag', 'remote', 'light', 'lighting', 'stand', 'gimbal', 'slider', 'monitor', 'microphone', 'cable', 'cord', 'memory', 'sd', 'cf', 'shutter', 'body', 'grip']"
